Author,Comment,LikeCount,ReplyCount,neg,neu,pos,compound,Label
@dancequeen6641,"Best captain + Best wicked keeper +Best Batsman +Best Finisher +  Best Father = Captain cool (Mahi) ♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️
❤️",9,0,0.116,0.375,0.509,0.91,Positive
@rubyyadav7054,Real king Mahi Sir❤❤❤❤💪💪💪💪💪👑👑👑👑👑👑,529,1,0.0,1.0,0.0,0.0,Neutral
@youkailash,Hardik can never ever ignore dhoni.. He considers him as his god father and only respects and fears hm in the cricket team..,529,9,0.099,0.671,0.23,0.4039,Positive
@bijaykumar_2.0,Hardik pandiya +dhoni sir dono hi best hai kon kon manta hai ❤❤,3,0,0.0,0.741,0.259,0.6369,Positive
@bijaykumar_2.0,Hardik pandiya +dhoni sir dono hi best hai kon kon manta hai ❤❤,0,0,0.0,0.741,0.259,0.6369,Positive
@lisitasahu8545,Goosebumps 😮❤Devil 😈 also needs a best reason for hating our mahi...❤❤,1,0,0.213,0.516,0.271,0.2263,Positive
@canutecoutinho8191,There is no simple and humble Captain and a nice human being like Dhoni,587,3,0.126,0.571,0.303,0.4767,Positive
@akshaypatel6244,He didn't ignore. Both are good friends and hardik learned a lot from him,310,6,0.0,0.552,0.448,0.797,Positive
@Puttyankit11music,King of indian Cricket😎❤.... MSD love,5,0,0.0,0.543,0.457,0.6369,Positive
@seeramsrinu6656,That's why we always love MSD even he can't be hands on his junior,1,0,0.0,0.756,0.244,0.6369,Positive
@Suraj_auti.07,Dhoni is not a Name.. it's my heartbeat ❤️‍🔥,126,3,0.0,1.0,0.0,0.0,Neutral
@HindiEnglishMoviesChannel,"Lol hugging each other, greeting each other and exchanging smiles is the new definition of ignoring 😂😂😂😂",604,6,0.104,0.462,0.435,0.8225,Positive
@Karansingh2251,Dhoni sir is g.o.a.t❤,8,0,0.0,1.0,0.0,0.0,Neutral
@ProductHunterShorts,Pandya The Altitude King...🔥🔥,2,0,0.0,1.0,0.0,0.0,Neutral
@mansoorahmed2544,"There was not scene of attitude, they are still in friendship.",461,5,0.0,0.775,0.225,0.4404,Positive
@Mitochondria2.,We all know how hardik talk about MSD hardik can never disrespect MSD Not only hardik but whole cricket community will never ever disrespect MSD ❤,306,0,0.0,0.831,0.169,0.5667,Positive
@anjalilakshmanan.a6471,தோனி என்னும் சிங்கம் நடந்து வருது .....👍💕💕.... இவர் பேரு கேட்டாலே ஒரு பாஸிட்டிவ் எனர்ஜி வருது பா......,2,1,0.0,1.0,0.0,0.0,Neutral
@savenature8,MS Dhoni :- King of all King's 🤴🤴🤴🤴🤴,1,0,0.0,1.0,0.0,0.0,Neutral
@vishanthsanjay4076,I want to check my eyes to doctor still can’t see the ignoring glance😂,489,7,0.18,0.733,0.087,-0.34,Neutral
@divaagarpavalakumar6714,The  love for Dhoni is because he is the first of his kind where cricket was dominated by elites only he became the first slumdog millionaire but also made sure that after him that legacy to be continued.  He always backed players from unprivilaged areas like Raina even when he didn't perform well but also respected the talent of professional players like kohli. Also after him the management was entirely changed and now india is a dominant team which overflows with talents because of Dhoni's initiatives. He made many enemies in upper echelon but due to the unquestionable popularity among his devotees thry all eventually became his friends or atleast act like. A living legend,133,10,0.045,0.676,0.28,0.9862,Positive
@_Mr_Ankit__up,"Respect button for 👍 legend  Ms Dhoni  sir 👍
👇",1,0,0.0,0.659,0.341,0.4767,Positive
@ArunKumar-ql9sm,Dhoni is my favourite cricketer,1,0,0.0,1.0,0.0,0.0,Neutral
@navaskhaled11,some legends still waiting for the ignore part,592,3,0.263,0.737,0.0,-0.3612,Neutral
@bhagabannayak8765,Captain is always a captain.i love you mahi sir ❤❤❤,498,7,0.0,0.656,0.344,0.6369,Positive
@Sammanral,"MS dhoni always legend, she is my favourite captain forever, love you mahi, love from Uttarakhand♥️🥰💪💯",0,0,0.0,0.625,0.375,0.8555,Positive
@SahilGiradkar,ATTITUDE KA KING ONLY VIRAT SIR SIR HAI😂😂😂❤❤❤❤,1,0,0.0,1.0,0.0,0.0,Neutral
@judah_08,Dhoni created all of them. Period.,250,1,0.0,0.714,0.286,0.25,Positive
@ordinaryperson769,"It's not called ignorance  ,It is called  respect .",220,4,0.0,0.535,0.465,0.6381,Positive
@RedMeatBD,I am from Bangladesh. Dhoni is not only the emotion of Indian cricket but also the emotion of the whole world.,0,0,0.0,1.0,0.0,0.0,Neutral
@Mahichoudharyvlogs,Dhoni Heart Button.heart.. here..❤,1,0,0.0,1.0,0.0,0.0,Neutral
@AvijitArijit-ry1li,Mahendra singh dhoni ❤ india no.1@  captain💖💖💖,4,0,0.0,1.0,0.0,0.0,Neutral
@chandan__3_396,That is called friendship not a attitude ❤💥,264,6,0.0,0.674,0.326,0.4404,Positive
@rahuldeb4804,Dhoni is the best of the best. He is a perfect n honest n pure hearted cricketer. A pure soul. God bless him n his family always 🙏🏻🤗💐,0,0,0.0,0.456,0.544,0.9652,Positive
@Ontrend4study,Both of him bonds are amazing ❤❤,1,0,0.0,0.612,0.388,0.5859,Positive
@kiranm6749,Hardik has amazing team too.  This was perfect final match..,41,1,0.0,0.516,0.484,0.8176,Positive
@Soldierr_boy,Hardik is our Future Captain so few people trying to defame him..this also happened with Dhoni when he was young.,4,0,0.0,1.0,0.0,0.0,Neutral
@m.e.zz.e.m6546,No cricket player in the world gets this much love ❤. It has nothing to do with cricket. It's just Dhoni.,0,0,0.087,0.748,0.165,0.4588,Positive
@naseemabbas2706,Dhoni the legend...he lift up indian cricket from depth to top,0,0,0.0,0.847,0.153,0.2023,Positive
@md.tubatunnobitashin2008,it's not attitude bro it's deepest friendship,588,6,0.0,0.674,0.326,0.4404,Positive
@Darshanraval099,This is not attitude “that's called respect.!!!!! 🔥💛,54,0,0.0,1.0,0.0,0.0,Neutral
@musicalknots7868,Hardik feels Dhoni as his brother and mentor. So he is showed his respect to MS,0,0,0.0,0.829,0.171,0.4767,Positive
@phanit5991,They are like student and teacher. Hardhik respects dhoni alot.,307,16,0.0,0.625,0.375,0.5859,Positive
@user-jn7ht1zm4n,"बीती रात इंडियन प्रीमियर लीग के इतिहास की सबसे भावुक तस्वीर सामने आई। जब महान सुनील गावस्कर किसी आम फैन की तरह एक ऑटोग्राफ लेने महेंद्र सिंह धोनी के पीछे भागने लगे। मौका था 16वें सीजन में चेपॉक स्टेडियम पर चेन्नई सुपरकिंग्स के आखिरी मैच का, जो 14 मई यानी रविवार रात कोलकाता नाइटराइर्स के खिलाफ खेला गया। धोनी की टीम भले ही मैच हार गई, लेकिन अपने फैंस का शुक्रिया अदा करने चेन्नई सुपरकिंग्स का पूरा स्क्वॉड एमए चिदंबरम स्टेडियम का चक्कर लगाने लगा, तभी गावस्कर पीछे से आ गए।

अपने सीनियर सुनील गावस्कर को ऑटोग्राफ देना खुद धोनी के लिए भी गर्व का पल रहा होगा। ऐसे में जब लिटिल मास्टर की शर्ट पर धोनी ऑटोग्राफ देने लगे तो समूचा स्टेडियम चीयर करने लगा। कमेंट्री का जिम्मा संभाल रहे गावस्कर जब मैच के बाद शो के लिए पहुंचे तो टीवी पर दुनिया के सामने चंद मिनट पहले हुई इन घटनाओं का जिक्र करना नहीं भूले। पोस्ट मैच शो के दौरान सुनील गावस्कर ने कैमरामैन को अपनी शर्ट जूम करने कहा क्योंकि उन्हें माही का ऑटोग्राफ दिखाना था। गावस्कर ने स्टार स्पोर्ट्स से कहा, 'उन्हें कौन प्यार नहीं करता? उन्होंने इतने सालों में भारतीय क्रिकेट के लिए जो किया है वह अद्भुत है। सबसे महत्वपूर्ण बात यह है कि वह रोल मॉडल रहे हैं। इतने सारे युवा उन्हें देखते हैं। जैसे ही मैंने सुना कि वो पूरी टीम के साथ मैदान के चक्कर लगाने वाले हैं, मैंने किसी से पेन उधार लेकर चुपचाप अपने पास रख ली।'

#SunilGavaskar #msdhoni𓃵 #sachintendulkar #IndianCricketer #cricket #cricmind #naaradtv",8,0,0.0,1.0,0.0,0.0,Neutral
@flixopytfflover1234,"It's attitude
अगर attitude नहीं होता तो hardik आगे बढ़कर उनका स्वागत करता ।
Who are agree.",1,0,0.0,0.857,0.143,0.3612,Positive
@akshay__117,Harthik 💥💥💥wht a player💛💛,0,0,0.0,1.0,0.0,0.0,Neutral
@trishaPrashant1040,godfather of cricket Dhoni,42,0,0.0,1.0,0.0,0.0,Neutral
@user-bl7hl1bk9m,"Cricket k history m sb sy humble person Dhoni hai...,.",167,5,0.0,1.0,0.0,0.0,Neutral
@SameerKhan-oj3eb,Dhoni is not only a player he is emotion of every,0,0,0.0,1.0,0.0,0.0,Neutral
@blockgamer06,Banda down to earth ❤legend❤ #mahi,1,0,0.0,1.0,0.0,0.0,Neutral
@snayakctctoka3355,Baap always baap hota hai...😅Only msd ❤,91,3,0.0,1.0,0.0,0.0,Neutral
@PRGz_editZ,Dhoni is a man who can never be ignored,93,2,0.0,0.781,0.219,0.2411,Positive
@vikashprasad8189,East aur best mahendra singh dhoni always  to good captain,0,0,0.0,0.53,0.47,0.7964,Positive
@sukantakumarbehera5150,I love you  Dhoni ❤❤❤❤❤😊😊😊🎉🎉🎉,3,0,0.0,0.417,0.583,0.6369,Positive
@ganapathynisha3269,Dhoni is legend hardik is  dhoni student,37,1,0.0,1.0,0.0,0.0,Neutral
@yasirzafar6144,The type of ignorance i need from my crush😅,420,6,0.263,0.737,0.0,-0.3612,Neutral
@santoshi5030,Dhoni is the MONSTER ❤,1,0,0.0,1.0,0.0,0.0,Neutral
@subratapaul6472,Dhoni is the big cricketer,2,0,0.0,1.0,0.0,0.0,Neutral
@srikarthikeyan1002,"This is not attitude
This is clearly loveble Friendship ❤️",124,3,0.0,0.588,0.412,0.6808,Positive
@chandiscreation3322,Still waiting for attitude part 😅,115,1,0.0,1.0,0.0,0.0,Neutral
@frankshaf66,The captain cool & Master planning /one and only  THALA MS DHONI W love you sir thala dhoni .from sri lanka veriyan fans ❤❤❤,0,0,0.0,0.755,0.245,0.7579,Positive
@syednabeelrazajaffri260,Great cricketer and a great human being love you MS from Pakistan,0,0,0.0,0.392,0.608,0.9246,Positive
@dimplerauniyar4826,"Dhoni sir bilkul sher ki tarah chalte hai unki walking se hi stadium me goosebumps aa jate hai crowd ke❤
Edit- kuch mahamurkh log kah rahe hai ki kya dhoni jaanwar hai ,Are itna to common sense hona chahiye tumlogo me ki kisi ka sher se tulna karna matlab uski personality ki baat horahi hai",949,37,0.0,1.0,0.0,0.0,Neutral
@spandancreations4333,Yes ..Hardik's positive attitude ❤🎉,456,13,0.0,0.323,0.677,0.743,Positive
@lakmalsandamanna5529,"Dhoni is a legend,❤️❤️ a player with great character, Pandya can't even reach that level. He is just a character.🇱🇰 sri lanka..",0,0,0.048,0.767,0.185,0.6157,Positive
@krishdhakate9330,Friendship of Hardik and MSD ❤❤,121,0,0.0,0.633,0.367,0.4404,Positive
@jyotibiradar9857,Once a captain Always a captain ❤❤,119,2,0.0,1.0,0.0,0.0,Neutral
@maqeel814,O Yar Kya bat ha sir ms Dhoni is very very very very down to earth personality of India ..player with zero hatter in Pakistan 😢❤❤❤❤❤ a huge fan of sir ms Dhoni professor m Aqeel from jhelum Punjab Pakistan Sir MS Dhoni is a name of an era 😢he is emotion of cricket fans😢❤❤❤❤,0,0,0.0,0.873,0.127,0.7184,Positive
@ARSVLOGS-ze5sw,Ms doni is best cricket and best captain of the Indian team,0,0,0.0,0.543,0.457,0.8555,Positive
@user-ne4jq8ol9e,10 baar dekne par bhi ignore wala part nahiiii mila😂,306,9,0.217,0.783,0.0,-0.3612,Neutral
@rishyz18,Rip for all those who thought Hardik's gonna ignore the all mighty Dhoni.,48,0,0.172,0.828,0.0,-0.3612,Neutral
@tamilselvan-sl5qo,The forest king 👑 LION 🦁 ENTER MS DHONI SIR 🔥,1,0,0.0,1.0,0.0,0.0,Neutral
@Fmw792,"We love Dhoni for his gesture,nature,pure soul ❤❤❤❤",0,0,0.0,0.625,0.375,0.6369,Positive
@user-dt5rc1cj9f,"Hardik respect Dhoni from the heart, he knows he is here just Because of MSD, he loves him most, World loves Dhoni....❤❤❤",161,0,0.0,0.644,0.356,0.8885,Positive
@cricketsiyapa,Dhoni is huge bruv… ppl love him all around the world,186,9,0.0,0.581,0.419,0.7579,Positive
@SKYBIRDGAMING07,"This is not attitude this is respect 
Attitude ❌ respect ✔️",0,0,0.0,0.563,0.437,0.7351,Positive
@emdadwasim2291,I am from 🇧🇩 I have watched the full video...There is no Ignoring It's just respect which is cover of Modesty... Respect Pandya and MS Dhoni Sir ❤❤,16,0,0.148,0.665,0.187,0.3182,Positive
@Jitzzz..gamer.,The thing that Pandya has so much respect for MSD shows he is nice guy. There are not many players who suppord MSD to this extend. He and his brother came in Chartered planes to visit MSD on his birthday. Not one player has done this. So this is the depth of their friendship.,149,2,0.0,0.82,0.18,0.8736,Positive
@SagarDeole-2305,"I am liking this video because of Dhoni not for Hardik, Hardik ka attitude to dhoni jeb mein leke ghumta he 😅😂#Legendmahi",1,0,0.0,0.881,0.119,0.4019,Positive
@lalsingmachare1280,"I LOVE YOU HARDIK ❤❤❤😘😘😘🥰🥰<br>You are my jaan,jannat,sukoon🥰😘😘😊😊😇😇😇",0,0,0.0,0.549,0.451,0.7125,Positive
@WaseemPasha-on1xc,Chhapra Harpic pandya hero msd❤❤❤❤,0,0,0.0,0.526,0.474,0.5574,Positive
@baseratabbas-mm9qn,I like Dhoni great player,0,0,0.0,0.233,0.767,0.765,Positive
@user-nt9on3en2y,Dhoni is a Indian player but we love him as a Indian cricket emosation.,0,0,0.0,0.655,0.345,0.7783,Positive
@sreelekhachakraborty8816,Dhoni ko dekhkar achanak sushant ki yaad agayi❤❤❤ Dhoni &#39;s walking style wooooooow❤❤,239,1,0.0,1.0,0.0,0.0,Neutral
@surajtiwari2416,Mahi bhai aapka jalva alag hi Andaaz mein dikhta Hai Sabse hatke,1,0,0.0,1.0,0.0,0.0,Neutral
@skcking2395,Not attitude this is respect❤❤❤,0,0,0.0,1.0,0.0,0.0,Neutral
@AnkitKhedar-lm7mj,"Pandya se koi mtlb nhi, mahi sir always good player &amp; mastermind sir❤❤❤🎉🎉",0,0,0.0,0.805,0.195,0.4404,Positive
@abishekrakwal7843,Yuvi n dhoni ....emotion❤❤❤,94,0,0.0,1.0,0.0,0.0,Neutral
@ketankumarparmar4750,Msd attitude 🔥 5 trophy lifted😂,2,0,0.0,1.0,0.0,0.0,Neutral
@HariomKushwah-oi5en,"Because i am <a href=""http://www.youtube.com/results?search_query=%23dhoni"">#dhoni</a> ( mahi fan ) 💛💛💛💛💛",1,0,0.0,0.723,0.277,0.3182,Positive
@its_montymehra,जबरदस्ती का एटीट्यूड धोनी तो किंग है यार❤,4,0,0.0,1.0,0.0,0.0,Neutral
@JDGroup28,MS. Dhoni is not a name it&#39;s brand of emotion,110,5,0.0,1.0,0.0,0.0,Neutral
@user-no4cb7ri4o,My favourite cricketer dhoni bhai tumhara,0,0,0.0,1.0,0.0,0.0,Neutral
@user-ht1xx2uh7q,It&#39;s not attitude bro this is a respect,0,0,0.0,0.659,0.341,0.4767,Positive
@aijazkhan2265,Woww.. mahi bhai every Indian should proud of you.. aap k jaisa captain milna mushkil hai,10,1,0.0,0.819,0.181,0.4767,Positive
@arunamoorthi7177,Gentlemen 💪👍cool captain,733,0,0.0,1.0,0.0,0.0,Neutral
@_amardeep236,❤for mahi bhai<br>👇,1,0,0.0,1.0,0.0,0.0,Neutral
@prithulbhattacharya1315,Hugging a person and still ignoring as per you 😅,92,2,0.235,0.522,0.243,0.0258,Positive
@subhanali16058,Msd the reason of Indian cricket revolutions..❤️,5,0,0.0,1.0,0.0,0.0,Neutral
@VikramPatel-eo5ro,Dhoni is best player❤❤,0,0,0.0,0.417,0.583,0.6369,Positive
@Rajkishoremohanty3391,Dhoni is best,1,0,0.0,0.323,0.677,0.6369,Positive
@pankajlodhi1369,Dhoni ka andaaz bahut simple hai<br>Itna  bada player hone ke baad bhi gamand nhi hai ❤❤,218,11,0.0,1.0,0.0,0.0,Neutral
@SiddharthSinghvlogs415,Dhoni is a emotion of cricket,0,0,0.0,1.0,0.0,0.0,Neutral
@SatendarKumar-yr8de,Babu Bache Baap ke kandhe par hat nahi rakhte Baap Baap hota hai love u mahi sir❤❤❤❤,0,0,0.0,0.781,0.219,0.6369,Positive
@NithinMuppidi,I love ❤️ ms Dhoni and Hardin Pandya super combination,5,0,0.0,0.464,0.536,0.8442,Positive
@Leonard_Ab_7,The myth<br>The man<br>The Legend thala is an emotion💛💛💛💛💛,7,0,0.0,1.0,0.0,0.0,Neutral
@lifeskillswithsiva6540,Dhoni is not only a captain is a valuable accet of csk team and trained the young generation of csk and Indian team so received hardik as a child,0,0,0.0,0.89,0.11,0.4767,Positive
@poonamdhayal5406,Attitude left the chat😂😂😂,211,2,0.0,1.0,0.0,0.0,Neutral
@shekharkadlag4327,Dhoni sir is always great.,5,0,0.0,0.494,0.506,0.6249,Positive
@rajukumar-ev9or,मैं तो चाहता हूं की धोनी और भी आगे खेलते रहे,0,0,0.0,1.0,0.0,0.0,Neutral
@ansarahamed1344,That&#39;s called friendship man,264,0,0.0,0.508,0.492,0.4404,Positive
@geetanjalimohalik86,Dhoni is the best in all india ❤,5,0,0.0,0.588,0.412,0.6369,Positive
@kotisaivignesh6984,In our solar system 8 planets sun minus 1 8-1= 7 out of earth dhoni system ❤,0,0,0.0,1.0,0.0,0.0,Neutral
@grddhanarajop2535,Bhai respect all players 😢 my favourite is hardik pandya,0,0,0.0,0.721,0.279,0.4767,Positive
@santhosh6516,Power of thumbnail😂😂😂,121,1,0.0,1.0,0.0,0.0,Neutral
@rajibalaji5724,Friendship goals...😍😍apdiiiii onnum attitude theriyalayeee,276,1,0.0,0.58,0.42,0.4404,Positive
@user-uw3tg1df4r,This isn&#39;t a attitude this is respect,55,0,0.0,0.617,0.383,0.4767,Positive
@sababathydiluksan5859,I cant see there is an ignorance<br>Its there bond❤,74,0,0.0,1.0,0.0,0.0,Neutral
@user-fu7ry4em9q,Hardik pandiya is Best captain,0,0,0.0,0.488,0.512,0.6369,Positive
@SatyapalSinghR7111,"I love हार्दिक पंडिया, धोनी भारत में शान है दोनों",12,0,0.0,0.656,0.344,0.6369,Positive
@varunkekan1488,no one can ignore thala 🔥🔥,277,5,0.54,0.46,0.0,-0.5719,Neutral
@user-ly5xl9vl8z,"Hardik gamandi , I love you MSD",0,0,0.0,0.488,0.512,0.6369,Positive
@kanjibadarshahi4287,Dhoni the best cricketer forever ❤,39,0,0.0,0.488,0.512,0.6369,Positive
@Creative_Editor_IND,It is not a Attitude This is Respect🎉,60,1,0.0,1.0,0.0,0.0,Neutral
@DeepakKumar-cw5qn,Love u Dhoni sir ❤👑🙏🏻🙏,0,0,0.0,0.417,0.583,0.6369,Positive
@SruthiPriya-xv5hp,not attitude that&#39;s called respect,1,0,0.0,0.563,0.437,0.4767,Positive
@ShanSheamus-ls2fp,Captain in all one’s ❤️ <br>Luv from Sri Lanka,6,0,0.0,1.0,0.0,0.0,Neutral
@thewhite5521,Legend’s still waiting for the ignore 😂😂😂😂😂,8,0,0.294,0.706,0.0,-0.3612,Neutral
@amarkumar-nn6ph,dhoni ham sabhi ke dil me hamesa rahenge,0,0,0.0,1.0,0.0,0.0,Neutral
@mohammadasir555,Im england  i love dhoni🥰🥰🥰,0,0,0.0,0.417,0.583,0.6369,Positive
@sahbajkhan-uw3xr,real humanity in MSD king 👑 is always king 👑❤️👑🤗❤️,65,1,0.0,1.0,0.0,0.0,Neutral
@nevilniranjan2155,Dhoni is  legend of memories,132,1,0.0,1.0,0.0,0.0,Neutral
@dineshchavan4026,Dhoni is legend and icon for all youngsters ❤❤❤🎉❤❤❤,0,0,0.0,1.0,0.0,0.0,Neutral
@lovelyok7831,It&#39;s not attitude. It&#39;s the respect ❤,22,3,0.0,0.617,0.383,0.4767,Positive
@rupesh_yt_23,Dhoni is a best captain  . I love you Dhoni sir 😘😘😘😘😘😘,24,0,0.0,0.455,0.545,0.8555,Positive
@Davidratnam2011,Jesus Yesu yesappa yeshua bless all desr ones,1,0,0.0,0.714,0.286,0.4215,Positive
@ajayasahu4728,Love MSD captain cool,0,0,0.0,0.235,0.765,0.7579,Positive
@Ganesh12432,Mahi Sir jaisa jaisa koi nhi koi nhi koi nhi .......❣❣❣❣,9,1,0.0,1.0,0.0,0.0,Neutral
@harsh_pk,Once a legend is always a legend....,16,0,0.0,1.0,0.0,0.0,Neutral
@dilipzala603,This is a note attitude. Only respect MSD.,1,0,0.0,0.659,0.341,0.4767,Positive
@mohammedsalim1661,Mahi Mahi Mahi Love U So much Indian Cricket team Captain 🧢 ur Best Forever ♾️❤,0,0,0.0,0.588,0.412,0.8555,Positive
@chawanrajuraju9,Dhoni baap off attitude hardik pandya fan&#39;s 🌺,0,0,0.0,1.0,0.0,0.0,Neutral
@esulumgam394,"😂😂😂😂 Kahan ignore Kiya be, o babua tohar dhyan kidhar haiy😂😂😂",828,58,0.217,0.783,0.0,-0.3612,Neutral
@AnandMergu-wx7yf,Rohit Sharma Jay Shri Ram❤♥️4️⃣5️⃣🦁🦁💪🏏🚩🚩,0,0,0.0,1.0,0.0,0.0,Neutral
@paramichandupa6015,Doni is a remarkable legend.,1,0,0.0,0.455,0.545,0.5574,Positive
@armankapoor5387,Hardik never ignore Mahi... ❤,80,2,0.0,0.587,0.413,0.2755,Positive
@d.k2618,India wants dhoni in yesterday match. <br>INDIA vs AUSTRALIA (final),10,1,0.0,1.0,0.0,0.0,Neutral
@DeepakSingh-dv8is,Mahendra singh dhoni super man❤❤❤❤❤❤,0,0,0.0,0.506,0.494,0.5994,Positive
@nasirabbasi6429,I a from Pakistan 🇵🇰 but rohit shamra is very good captain,0,0,0.0,0.677,0.323,0.6474,Positive
@sandipmupde1280,Like for only Dhoni ...It&#39;s from Rohit army❤,0,0,0.0,0.737,0.263,0.3612,Positive
@Rajdas0976,It&#39;s not Attitude it&#39;s called Respect✅❤️,12,0,0.0,1.0,0.0,0.0,Neutral
@sunilkumardash8773,Hardhik ko hollywood movie me hona chahiye,5,0,0.0,1.0,0.0,0.0,Neutral
@zulfikarshaikh5487,Hardik pandiya attitude like. Indian ipl prime minister.  North or east Rohit sarma is best captain mumbay Indian itst a great captain...Hardik pandya captaincy like of darkness future for Mumbai Indian team......,0,0,0.048,0.63,0.322,0.9062,Positive
@toniverma2389,Legend the power ms dhoni❤,0,0,0.0,1.0,0.0,0.0,Neutral
@user-to3eb2to4n,Two legend in one way ❤❤❤❤,5,0,0.0,1.0,0.0,0.0,Neutral
@pareshvora1309,Kha dhoni or kha pandya<br>Sir DHONI is legend,6,2,0.0,1.0,0.0,0.0,Neutral
@user-kf7qy7kl6s,Dhoni is a senior player and Hardik is Junior to Dhoni Respect kr yaar Hardik❤,0,0,0.0,0.807,0.193,0.4767,Positive
@user-yk2ng6uw8k,I❤dhoni 😊🎉❤,0,0,0.0,1.0,0.0,0.0,Neutral
@manvendrasinghsolanki3775,"for the caption writer : that is not attitude , that is success and gratitude the way he met dhoni and showed him the way shows his gratitude towards dhoni mahi sir .",76,0,0.0,0.724,0.276,0.8834,Positive
@Sevugaperumal.aPerumal-om3je,Mass Dhoni he is a real hero no attitude   hardik,3,0,0.172,0.547,0.281,0.34,Positive
@user-ls4er6to9m,Dhoni❤❤Hardik❤❤,0,0,0.0,1.0,0.0,0.0,Neutral
@biplabdas4683,Mahi world ❤❤❤❤❤,1,0,0.0,1.0,0.0,0.0,Neutral
@Localman24.,It is not attitude.... It is called friend ship... Respect,3,0,0.0,0.559,0.441,0.743,Positive
@asjadumar1028,After watching this i Google the meaning of ignore😂,42,1,0.0,1.0,0.0,0.0,Neutral
@rani3160,when people shouted like dhoni while that time  hardik  removed   his hand from dhoni. Atleast he realised the fact 😂😂😂,1,0,0.0,0.759,0.241,0.6908,Positive
@amaanniyazi,Dhoni is a heart of every cricket lover,0,0,0.0,0.612,0.388,0.5859,Positive
@nareshcherry2411,Two legendari kings❤❤❤,5,0,0.0,1.0,0.0,0.0,Neutral
@Ramhanuman51,no ego man just nothing we have a pure gold,141,1,0.216,0.784,0.0,-0.296,Neutral
@999ANURAGFF,❤❤❤❤❤ हार्दिक,1,0,0.0,1.0,0.0,0.0,Neutral
@Swwallah934,My favourite hardik pandya ❤❤❤❤❤❤,0,0,0.0,1.0,0.0,0.0,Neutral
